EPS Change (%),EPS Value,Scenario
-20%,180.0,What-if
-15%,191.25,What-if
-10%,202.5,What-if
-4%,213.75,What-if
0%,225.0,Current
4%,236.25,What-if
10%,247.50000000000003,What-if
15%,258.75,What-if
20%,270.0,What-if
