EPS Change (%),EPS Value,Scenario
-20%,249.60000000000002,What-if
-15%,265.2,What-if
-10%,280.8,What-if
-4%,296.4,What-if
0%,312.0,Current
4%,327.6,What-if
10%,343.20000000000005,What-if
15%,358.79999999999995,What-if
20%,374.4,What-if
