EPS Change (%),EPS Value,Scenario
-20%,272.0,What-if
-15%,289.0,What-if
-10%,306.0,What-if
-4%,323.0,What-if
0%,340.0,Current
4%,357.0,What-if
10%,374.00000000000006,What-if
15%,390.99999999999994,What-if
20%,408.0,What-if
